Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
35.555,-64.00,-14008.00,-8808.00,-347.00,354.00,1.00
35.658,-144.00,-13984.00,-9016.00,-368.00,328.00,21.00
35.761,-72.00,-13980.00,-8968.00,-381.00,332.00,19.00
35.864,-80.00,-13972.00,-8932.00,-368.00,357.00,31.00
35.968,-60.00,-13920.00,-8792.00,-366.00,369.00,30.00
36.071,-64.00,-14004.00,-8988.00,-361.00,331.00,28.00
36.174,-56.00,-13912.00,-8860.00,-362.00,351.00,14.00
36.278,20.00,-13876.00,-8852.00,-371.00,344.00,40.00
36.381,-92.00,-13968.00,-8976.00,-353.00,347.00,49.00
36.484,-36.00,-13900.00,-9056.00,-368.00,328.00,13.00
36.588,-64.00,-13896.00,-8936.00,-380.00,309.00,22.00
36.691,-52.00,-13944.00,-8836.00,-364.00,332.00,18.00
36.795,44.00,-13940.00,-8884.00,-344.00,332.00,24.00
36.898,-12.00,-14192.00,-9092.00,-367.00,338.00,74.00
37.001,4.00,-13980.00,-8804.00,-385.00,342.00,12.00
37.104,-64.00,-13936.00,-8956.00,-350.00,347.00,29.00
37.208,-112.00,-13956.00,-8928.00,-337.00,326.00,28.00
37.311,-8.00,-14044.00,-8840.00,-368.00,347.00,24.00
37.414,-92.00,-13936.00,-8796.00,-355.00,355.00,12.00
37.518,-168.00,-13984.00,-8824.00,-360.00,342.00,33.00
37.621,84.00,-13976.00,-8808.00,-265.00,353.00,-24.00
37.724,-52.00,-14048.00,-8872.00,-363.00,339.00,37.00
37.828,-128.00,-13928.00,-8800.00,-328.00,333.00,12.00
37.931,24.00,-14024.00,-8828.00,-334.00,348.00,4.00
38.034,-88.00,-13960.00,-8876.00,-403.00,333.00,31.00
38.138,-80.00,-14060.00,-8804.00,-363.00,363.00,19.00
38.241,-152.00,-14012.00,-8940.00,-343.00,344.00,39.00
38.344,-108.00,-14052.00,-8692.00,-323.00,353.00,17.00
38.448,-116.00,-14072.00,-8580.00,-340.00,344.00,25.00
38.551,-104.00,-14072.00,-8856.00,-347.00,318.00,8.00
38.654,20.00,-14072.00,-8748.00,-406.00,359.00,22.00
38.757,-76.00,-13924.00,-8816.00,-382.00,356.00,12.00
38.861,-24.00,-14004.00,-8880.00,-356.00,311.00,28.00
38.964,4.00,-14052.00,-8848.00,-360.00,338.00,0.00
39.067,-28.00,-14020.00,-8876.00,-388.00,374.00,30.00
39.171,-108.00,-14048.00,-8676.00,-360.00,334.00,13.00
39.274,-88.00,-13976.00,-8788.00,-385.00,339.00,11.00
39.376,-124.00,-13888.00,-8692.00,-374.00,346.00,-56.00
